,restaurantID,name,reviewID,Review Sentiment,rating_y
51,-aIXGAuLnicdsmOutY9ebQ,Terzo Piano,piBoGiLqwAzinfhbJLzHWA,positive,4
52,-aIXGAuLnicdsmOutY9ebQ,Terzo Piano,pNPuK9p-In04x_gWDQz58A,negative,3
53,-aIXGAuLnicdsmOutY9ebQ,Terzo Piano,pUJ1TIm4bUPL-mL5pVBYIg,positive,3
54,-aIXGAuLnicdsmOutY9ebQ,Terzo Piano,Q2ccQnXqtcCdI7-NH3RwQQ,negative,1
55,-aIXGAuLnicdsmOutY9ebQ,Terzo Piano,sB-NTNwIGs4HScrkfivLUQ,positive,3
56,-aIXGAuLnicdsmOutY9ebQ,Terzo Piano,sP_RUIVvnxfmlPT6gfeuEA,positive,5
57,-aIXGAuLnicdsmOutY9ebQ,Terzo Piano,t6mE83ZUg0IjAgrunj5l_Q,positive,5
58,-aIXGAuLnicdsmOutY9ebQ,Terzo Piano,tPBFnn2Py_lpCzJR6ZeEZw,negative,1
59,-aIXGAuLnicdsmOutY9ebQ,Terzo Piano,u2TL0jSWbOj5lvVGUPKz5w,negative,2
60,-aIXGAuLnicdsmOutY9ebQ,Terzo Piano,VoUc_GPqC_xKpdNIZSOdJg,positive,3
61,-aIXGAuLnicdsmOutY9ebQ,Terzo Piano,wjN_tXUA72BkMe0a5aWqgg,positive,4
62,-aIXGAuLnicdsmOutY9ebQ,Terzo Piano,_rIx_UQcCpkZfRV_eOJDSg,positive,4
63,-bfF_-h5p4jRC937npYdvg,Smart Resources,5R_-cfUszXvY6AtbmOZ41Q,negative,1
64,-bfF_-h5p4jRC937npYdvg,Smart Resources,9JkMpin2G1q1sDfaolnTag,negative,2
65,-bfF_-h5p4jRC937npYdvg,Smart Resources,a_jK4nfxTR9fKUVpwSHdhQ,positive,4
66,-bfF_-h5p4jRC937npYdvg,Smart Resources,dOnnfHt-NkxUdFQeWBz0CA,positive,5
67,-bfF_-h5p4jRC937npYdvg,Smart Resources,HxFHsbSWuImKp98jvOJ4rw,negative,5
68,-bfF_-h5p4jRC937npYdvg,Smart Resources,JNywlcJAgcDpv7RQ57aB3w,positive,4
69,-bfF_-h5p4jRC937npYdvg,Smart Resources,LyBWRlF1isAvdQA4xodPqw,positive,5
70,-bfF_-h5p4jRC937npYdvg,Smart Resources,Mf7k9krqhNqqnwmop6hBlA,positive,5
71,-bfF_-h5p4jRC937npYdvg,Smart Resources,MGgq8RGnHufVCxBA8OCKfw,positive,5
72,-bfF_-h5p4jRC937npYdvg,Smart Resources,qhi3vHuv7CHkPFDCnXIV0g,negative,3
73,-bfF_-h5p4jRC937npYdvg,Smart Resources,WYrDePhEOrczbBYL6jup1w,positive,5
74,-bfF_-h5p4jRC937npYdvg,Smart Resources,x5-TQNz4ZMNGdNzvakSCpQ,negative,3
75,-BKSuORz6rwIcTSGAV_GwA,Delmonico,1zLlEdYFK5PAXpRKmGYzjw,positive,3
76,-BKSuORz6rwIcTSGAV_GwA,Delmonico,c3gFRYvGSI_2d5KyxHq_0g,positive,3
77,-BKSuORz6rwIcTSGAV_GwA,Delmonico,dWEV2K4ecvH5gsNcrBG52w,negative,5
78,-BKSuORz6rwIcTSGAV_GwA,Delmonico,pAVV3r6SO2TCPhT8LeCdUg,positive,3
79,-BKSuORz6rwIcTSGAV_GwA,Delmonico,pzPl0fj7EVL3Y6BqGEkVrw,negative,3
80,-BKSuORz6rwIcTSGAV_GwA,Delmonico,q0wKuDtaI0Psfk3HVTK3JQ,negative,5
81,-BKSuORz6rwIcTSGAV_GwA,Delmonico,uDWvLUyftES-_peVLbB0FQ,positive,3
82,-BKSuORz6rwIcTSGAV_GwA,Delmonico,vOMDU1aAGhPgWLae4MTtUA,positive,3
83,-BKSuORz6rwIcTSGAV_GwA,Delmonico,wiLCxpitS_rmUH0weohYJw,negative,5
84,-CclMIdTyOnA2vWrubC2Iw,Macy's,-1xRQXfr3XzqRjMYTcDIyA,negative,3
85,-CclMIdTyOnA2vWrubC2Iw,Macy's,-G0OURdMk8u0wD0EnGoevQ,positive,5
86,-CclMIdTyOnA2vWrubC2Iw,Macy's,-QuGxAyoGgddGQIKq6uPZw,negative,4
87,-CclMIdTyOnA2vWrubC2Iw,Macy's,1_V3GQx2JOxc1pDrOM4ZVg,positive,5
88,-CclMIdTyOnA2vWrubC2Iw,Macy's,2y5qFzTi1xPsLqsNfrHMpg,negative,1
89,-CclMIdTyOnA2vWrubC2Iw,Macy's,2ZC95NACwAArfm87f6Z15A,positive,3
90,-CclMIdTyOnA2vWrubC2Iw,Macy's,32N5FxpHCpNtELA7QFaW8g,positive,2
91,-CclMIdTyOnA2vWrubC2Iw,Macy's,4YsQJ7GuyqdtSYp9CYqJ5Q,negative,3
92,-CclMIdTyOnA2vWrubC2Iw,Macy's,51zqIkXaC2FevOiPJaP5tA,positive,3
93,-CclMIdTyOnA2vWrubC2Iw,Macy's,5AGK_rqiWdVDZ4KrRPu-xQ,positive,5
94,-CclMIdTyOnA2vWrubC2Iw,Macy's,5EFKRz99gWyDuaMf0p_KkQ,negative,1
95,-CclMIdTyOnA2vWrubC2Iw,Macy's,67odpDeLYKVhKBt5-XMngw,negative,1
96,-CclMIdTyOnA2vWrubC2Iw,Macy's,7OfBkS5hkSxDrjtJI30Gxg,negative,2
97,-CclMIdTyOnA2vWrubC2Iw,Macy's,8E8R2avV1qtxoj3irnh5bg,negative,3
98,-CclMIdTyOnA2vWrubC2Iw,Macy's,9Q7k9x6MObkV6FE7n_MGEw,positive,5
99,-CclMIdTyOnA2vWrubC2Iw,Macy's,9YeSGFDsOywYPkRgMHaqmQ,positive,2
100,-CclMIdTyOnA2vWrubC2Iw,Macy's,9YjcBScYdMDDjVYRmJ8QIg,negative,1
101,-CclMIdTyOnA2vWrubC2Iw,Macy's,abypjF0oW12VMUh32LvX5g,negative,1
102,-CclMIdTyOnA2vWrubC2Iw,Macy's,AdmEH8saiIC1xlrJ_icC3g,negative,2
103,-CclMIdTyOnA2vWrubC2Iw,Macy's,afDstj4-ziJJs2IIDbjlwQ,positive,3
104,-CclMIdTyOnA2vWrubC2Iw,Macy's,aj9JAQO62TUsIygIvjhS4g,positive,3
105,-CclMIdTyOnA2vWrubC2Iw,Macy's,aKYHjR_0EF94oaZNkn2DLA,negative,1
106,-CclMIdTyOnA2vWrubC2Iw,Macy's,apSA4dz7qgZU-LDEq5bW3g,negative,2
107,-CclMIdTyOnA2vWrubC2Iw,Macy's,APzpDz2_oeKMJCZAdeSVdg,negative,3
108,-CclMIdTyOnA2vWrubC2Iw,Macy's,aRr6DOYzHjC5sGjKlfvM9g,positive,5
109,-CclMIdTyOnA2vWrubC2Iw,Macy's,ayVE-gdckVLiqK_YdTCObA,negative,1
110,-CclMIdTyOnA2vWrubC2Iw,Macy's,B7Db2vtjHgb4wWkG0g4S7A,positive,4
111,-CclMIdTyOnA2vWrubC2Iw,Macy's,BLp0oNV69gjQwq-H8F7OuA,positive,5
112,-CclMIdTyOnA2vWrubC2Iw,Macy's,bv-Lbz2islsnRC5EJXAE7Q,negative,1
113,-CclMIdTyOnA2vWrubC2Iw,Macy's,cejw7uN20P5wLKm_Xrrtdw,negative,2
114,-CclMIdTyOnA2vWrubC2Iw,Macy's,CLu7le2_XSIbhXq8X9dFpA,negative,1
115,-CclMIdTyOnA2vWrubC2Iw,Macy's,cn8Hy5DZ6dCh8JNU9KfIiA,negative,2
116,-CclMIdTyOnA2vWrubC2Iw,Macy's,CYp6yNGvcB-qV0JV8UN82g,positive,4
117,-CclMIdTyOnA2vWrubC2Iw,Macy's,D8gwcISmVhdvPq-4WnLhYQ,negative,4
118,-CclMIdTyOnA2vWrubC2Iw,Macy's,dl87fSVJQVdxTdxBYyFbRw,positive,4
119,-CclMIdTyOnA2vWrubC2Iw,Macy's,DLU03qGiLtyKfA6gXkGluQ,positive,2
120,-CclMIdTyOnA2vWrubC2Iw,Macy's,DmvTwa2uH88GHH7rJwvm4g,positive,4
121,-CclMIdTyOnA2vWrubC2Iw,Macy's,DX45m0X4MKNM5VlfugeZ1A,positive,4
122,-CclMIdTyOnA2vWrubC2Iw,Macy's,dXfDepSswkxR_8ROYtDCIQ,negative,3
123,-CclMIdTyOnA2vWrubC2Iw,Macy's,E9C0LKcF-1CLZXE_iFtiww,positive,4
124,-CclMIdTyOnA2vWrubC2Iw,Macy's,eIgqZXto1DGZMm5WQ5VMhQ,positive,3
125,-CclMIdTyOnA2vWrubC2Iw,Macy's,ELO_m1IZ1zOHhYMyEUIaDw,positive,3
126,-CclMIdTyOnA2vWrubC2Iw,Macy's,f5SzKUZRKGTBymZUIFLj1g,positive,3
127,-CclMIdTyOnA2vWrubC2Iw,Macy's,FmHV1ASXShofy460eaM9XA,negative,1
128,-CclMIdTyOnA2vWrubC2Iw,Macy's,GRs2PVc4jsw33Bmgwgjokw,negative,4
129,-CclMIdTyOnA2vWrubC2Iw,Macy's,gzOtmo-wPzm8CMWDt14iwg,negative,1
130,-CclMIdTyOnA2vWrubC2Iw,Macy's,h0vkeo0bNEpvVNg8GzsfeQ,positive,5
131,-CclMIdTyOnA2vWrubC2Iw,Macy's,h86x4TPra0mziujjTZ6L5A,negative,1
132,-CclMIdTyOnA2vWrubC2Iw,Macy's,HJRkHda0fYVKkrYvxT1GKQ,negative,3
133,-CclMIdTyOnA2vWrubC2Iw,Macy's,HKFU8FI7crxdSI3Npnw-pQ,negative,1
134,-CclMIdTyOnA2vWrubC2Iw,Macy's,HmB0HKfwzIoTOIczdjERNA,positive,5
135,-CclMIdTyOnA2vWrubC2Iw,Macy's,hOB3QBXanLK7JHKaZCG49g,positive,4
136,-CclMIdTyOnA2vWrubC2Iw,Macy's,HSZi9ROBLMVq-rwrNsEwfg,positive,4
