,restaurantID,rating_y,average sentiments
84,1Km-oO8bX43gNFeAbGiYTQ,3.896551724137931,positive
85,1MfiZuyRzucrxEyIaIXgwg,4.0,positive
86,1QYw2DpFXY6PqvV7C0GTZw,2.5,negative
87,1Rvmtp17yoY9cDsEPLYaSg,2.8823529411764706,negative
88,1S3tW00La1Nphe91vFBjog,4.0,negative
89,1Vglu_Qdgybx7OcwsEqzkw,3.4444444444444446,positive
90,1_zkTuPxEFkPAocuiO101w,1.5,negative
91,1f7JLbrbquvAEhg0heyKFQ,2.0,negative
92,1hJYOI26FjCQ-Ce6iKAvug,4.1680672268907575,positive
93,1iyzE4xlk1HNGkULak5alg,4.0,negative
94,1jSRazECx0xeJs8HT9W_jQ,3.6,negative
95,1m2ze0cXx2miXKj0VTJuxQ,4.166666666666667,positive
96,1prznGO3MwE6Yf60xYuwTQ,3.5,positive
97,1rJZHq8Cce3PJxCte1lalw,3.888888888888889,positive
98,1s6Q6AWIc6f9RVVQ92ZFaw,3.0,positive
99,1s9iSQ4z8yDy9ffGqg81Fw,3.4,positive
100,1ukE2y-MzEnG-SM3p8Mq0Q,4.2,positive
101,1uqwWskpD_i2Icx0f9S8jg,3.8181818181818175,positive
102,1y1xDvXbO-bKZFgmkMALVA,3.0487804878048776,positive
103,1yUM4vdxwTDs6EuoZ086Hg,3.0,positive
104,2-Jvw8bADNZ0E-T3tDDrRA,4.0,negative
105,20M9zhLEEnoB0qGsyoSxIA,4.5,negative
106,20wfxKZnNFsnp2CdB7Eahw,5.0,positive
107,210rvDTo_0HSSo5tLr9HMA,2.5,negative
108,21D0_8YEyT7I69iwY6XIlQ,2.8461538461538463,negative
109,21Q4OsA95Vb2TURFpeTIcg,3.0,positive
110,21f2w6z-FdAjnYu970gn0g,3.0,positive
111,22GkDUHxH3xBmGO0_g4GVQ,3.0,positive
112,24WqBsmrWPYEsI0ys3ZWWA,5.0,positive
113,24sB8bOQneWRVBi9N1VY5Q,3.2666666666666666,positive
114,2AH6AcX1L6sNX60GUsEwVA,4.120689655172414,positive
115,2BxHjDHNq2342L_cMsSNgg,3.333333333333333,positive
116,2BxHkSktvRjxZ6Be9Y4NVw,3.6666666666666665,negative
117,2CWs-l5YJSNgRN77erAXbw,4.666666666666667,positive
118,2G_LdsOLFtHhekimlOeRcw,3.8125,negative
119,2Gvg-l2UBRpb7sGxR0aZPA,1.0,negative
120,2Lly37VVeM39l1RS3EzqAw,3.5,positive
121,2PIvYS7kCl4O8WD71-XjQw,4.0,negative
122,2T77jRv5abRFZnzuqYCK_w,4.0,positive
123,2U4Joky5DZ3m8-HN4iM8cg,5.0,positive
124,2ZJ8Pr0OhDYEsF8KuITTzQ,3.5,positive
125,2ZURzjCMKBBClbafMY0eHw,2.6666666666666665,negative
126,2a5LBuNC1hQNOS9pbaRIkQ,3.0,negative
127,2ai5kEKuLQ_lGmKs5x81Tw,2.75,positive
128,2fMPAjajtxmcaJmAIaZ7Eg,3.8333333333333335,positive
129,2fUEU9X3sKA52G45edMizA,5.0,positive
130,2fZ02ae7kZG9PW0vKjtTRQ,3.9166666666666665,negative
131,2g63sTi0w1aB6avw7rP69w,3.0,positive
132,2gmthMUNBttWUIugJAnOkw,4.125,negative
133,2idH6ihDTO_qK9-y8r-hKg,4.0,positive
134,2ldSwMPrAV59rHSOymBqWw,2.0,negative
135,2m_KBLL9Bk_dwZ5n5b11nw,3.7910447761194033,positive
136,2mafzHdB8XlBfBqwclWkKg,3.6666666666666665,negative
137,2nghVWzBaF45Vl--2O6cSA,5.0,positive
138,2svAajXvBaFJpv8pWxAc3g,4.0,positive
139,2wQJD6EQTSsEKuJLysYB_g,4.055555555555555,positive
140,2xezU4jZXr3SsdNVq5Ta6g,3.5,negative
141,2zhHulwNrtph6BPQK_lQ1w,4.5,negative
142,32xJ0Xxshxzy8XhXp2WnKQ,4.75,positive
143,35KeOhB4jWlCwAxlXuxtUg,5.0,positive
144,38gt6s_jrOlnjHhHAODXXA,4.0,negative
145,3BKnY2wzy4QM20Fr1nqDsg,3.984848484848485,positive
146,3DvrpXBRJYZZyMUDYj6Gww,3.6666666666666665,positive
147,3EUX286ckiX2g6ig8GFZAQ,4.0,negative
148,3EZJnLh_kOKvNCQg21I_4g,3.0,positive
149,3FLqwlT1dbA3Djw3rEGp6g,3.5,negative
150,3FSFRihADufwF4ZmJ5V4eA,1.0,positive
151,3GXFsq9rJZUWXOJCQf-dIQ,3.7857142857142856,positive
152,3JKpC8NVEwehiYEP5PZUyw,4.909090909090909,positive
153,3JVf9XaeovtphmXICKP4UQ,5.0,negative
154,3NHRKPfkUbG3FNfcXt8gqQ,3.0,negative
155,3NV7hlKcTm5be625ylnyBA,3.5,positive
156,3NnjTih2DgDo3mMD12buwQ,5.0,negative
157,3PStSuAE5GwXl9Av_vBSOg,2.0,negative
158,3Sm8sZ0FrFQpbu9Eft1ROA,3.7857142857142856,positive
159,3TO5TOt6EA3CJIRFDaIZTg,2.0,negative
160,3Tb7nFDCO63gbQK5pm0Mag,1.0,negative
161,3V-LqgL1Pmo8597Pan1uaw,5.0,negative
162,3bYTS6ormbI2NzamGvLwaw,1.0,negative
163,3hzb9Oy0i9JgrQtqZpG4Ag,3.875,positive
164,3nL7nX2vtyN37-jmy22z9A,4.6,positive
165,3nLRQuRKpCOj6zwp6WHtAw,5.0,positive
166,3pL7x-7C29VUffLDDwOt8g,3.333333333333333,positive
167,3tvOLEEu7neQAA3DzHcsQA,3.5,positive
168,3uExHbBEstd2EFZE0rqP2Q,1.5,negative
169,3vayzHh-KhCoj0y0xtsiEg,5.0,positive
170,3zFnA3zUZGhM7uO72svYFg,4.3,positive
171,3znBF55psLGRk7RFkRVtGA,5.0,negative
172,40Mpc35KZzsl9ZhUqYG8xA,5.0,positive
173,42RURnmGeBKdfop0i4lEyw,4.0,positive
174,42fKxghGjTmoBaTsX0OiFg,3.4166666666666665,positive
175,47CFeWqm4WxQZVKWNdLxbw,3.25,positive
176,4AGNyl3PSTJDndUvkHu6WQ,4.333333333333333,positive
177,4DRO4odzVxEt6NbU352p8g,5.0,positive
178,4DcXRZLvvN-VQiPK0hEBgQ,5.0,positive
179,4FMK_dt30oLQDNOsx6R2Rw,4.0,positive
180,4GFZJzbt6Ah15RL6GBDx0w,4.5,negative
181,4HHIt4OVTMiBKx2nVrZZig,2.5,negative
182,4Hfzfkgp7Q3-XhqVK_9Eng,4.666666666666667,positive
183,4JUhaXWC1IcUFcA_tOVYuA,3.0,positive
184,4OVgBtwrqKexJad6axdErA,1.0,negative
185,4SLcA-_yv--GUAPctexFbQ,1.0,negative
186,4SmEprZO0coUzo2HDM6KXg,3.0,positive
187,4Tf587qzzP8iY43MYXQYWQ,3.0,negative
188,4UQ18B7HZDKrRNUeE7LLKg,3.1875,positive
189,4VyzVcgkwRSCoatWZraTJw,5.0,positive
190,4bn_9znR6PX7UUjltzKOlw,2.0,negative
191,4c0Pa0UIfWbFZVSIuYYtqg,5.0,positive
192,4fThwu5WLrejpf9KsDzmoQ,2.9,negative
193,4h1nvAGJRcBZz4ZHnf9UkQ,5.0,positive
194,4h9EmFR-BYdjK1S73Xo6ZQ,1.0,negative
195,4hEWyzVZ4gKdAoBpsd7Rrw,3.1046511627906983,positive
196,4hIXfj2MU4sDG3E8yNpJsQ,4.0,negative
197,4iI6yIoeJhjiVuaZv4ZHmA,4.6923076923076925,positive
198,4jaALpR4I29-SIZ5C1o_5A,3.8,positive
199,4k8-O7_KsCZ4I8ltrmeszg,5.0,positive
200,4lT8Sh13Gze4YzqrjMeieA,1.0,negative
201,4nmenZEQhryWEGJFt8iKRA,3.0,negative
202,4o1N_CMDR_jdomMKIGCGxQ,2.0,negative
203,4ogd5u2JhzgJvsF7TK_CNQ,5.0,negative
204,4qEixHIdVQmnQVtxEErOxw,5.0,positive
205,4sTaiQruMMJ_AdpGkxNTIQ,5.0,positive
206,4snGc57G79_goGso7YL9Zw,2.0,negative
207,4t55Sb9C0lnsCyuZhjcP0A,3.125,positive
208,4uN9zJtVKf5BfUt1_vS-ZA,3.0,negative
209,4wiZUhxmC7W6RHKCY2p6gQ,5.0,positive
210,4xh2rWLpr9aOW9I8YN4-vQ,5.0,positive
211,4yihQrVTYRRuRAA4-joVeQ,2.5,negative
212,5-0yv3wd_8uKZbqdfDlkzw,4.0,positive
213,52UFHEOg1nuRdHCHZ7zwyA,4.5,negative
214,57PyRW-iahNX_Ur8icAfxg,3.8,positive
215,5AHqFPtBw34pUsfq0eiUNA,4.0,positive
216,5AWyi5ROooZiljEt4wc-cQ,4.0,positive
217,5AfHTvp-T9JwHBJ1gupJ2A,3.0,negative
218,5GT0My-tk3Lh1YvYY_cTBw,1.5,negative
219,5Gx4M2rRQ9wIhw66gNnxzw,3.1538461538461537,positive
220,5IL7unC2D3G8X7vaIfjfDA,5.0,positive
221,5JE9sGqhfgzg-6T6g88UzA,4.0,positive
222,5JXhbynuQUd5kn7gYRLD2g,4.0,positive
223,5LENR0IthLzoK9vgDvIxqQ,5.0,positive
224,5MrrXGI_uvtAIkMNejdjIA,5.0,positive
225,5QSxzXNfLU-y0MQ-WqViYQ,3.484375,positive
226,5Rl7APJCrpAlaZ-olTwbmA,5.0,positive
227,5WU5wPtC9DpgwWqkQurAnw,3.7142857142857135,positive
228,5Z9BWcCSSkqTYivrB0TT1A,3.9117647058823533,positive
229,5_j0U9nX2619tA9WBYETgg,5.0,positive
230,5bnD5bKmEyR6OZc5fSiyjA,4.0,negative
231,5d5KsQZSjd2k7HGxfPhssA,3.0,positive
232,5dcuntZ15ZEi72eWYRYnfg,5.0,positive
233,5ex8kJCkvwSnDk_YBPZiMA,1.181818181818182,negative
234,5f6Om7sRKAWtsdKw4cyfJg,4.333333333333333,negative
235,5hOAKe2MXiiW5sUnFdsuNQ,5.0,positive
236,5k8UrBsK-83mav-XcI66Qg,4.0,positive
237,5nbw6qmb2DHqv7l_1wJpkw,3.75,positive
238,5oWImQbhTAEWoD6Nhz01iw,5.0,positive
239,5pPUUnsVe2u3T3a3MCYQxg,4.0,positive
240,5q-cLosO7SaGaoTjuF92fA,4.0,positive
241,5qiXi2kNvXlhUZtcUsYiIQ,4.75,positive
242,5s9ntZVD45n2CxboZnLbSg,4.4848484848484835,positive
243,5wxhojVIFtOfTS7TOBrQLA,3.6666666666666665,negative
244,5zACwnsvV_G9XTSsmWsu8A,5.0,positive
245,61cDVb0Nx6ov_CLWMjWxzA,3.363636363636364,positive
246,61q-Efp25H4Spyc64ZWbig,5.0,positive
247,64OV1hQ46XWDflVOPWhUrQ,5.0,negative
248,66-K1gf6ToEqd_jo5iUvPA,3.97979797979798,positive
249,67w81wXIS2aRlfviFPlnZQ,3.0,negative
250,6B_N8zx6PaAu7zCKhYVVLg,3.5,negative
251,6DlntlLnsPcosfCoyd6T1Q,3.272727272727273,positive
252,6HxlGhgqNKN-KcoKuGegvA,5.0,positive
253,6JWDv4Od4LUr4UvbKuai6A,3.5,positive
254,6KPItRRz_F8kpDnjHlXAtQ,3.0625,negative
255,6LpFeZ9DTfEJR8_M_EtSwA,3.0,negative
256,6NEl8sGhKll5UMfYJgkbHw,5.0,negative
257,6QRmthF8jBUfSMDtx529SA,3.0,negative
258,6RObl38FhMoUz3N7EUp3LQ,4.0,positive
259,6TERAgS-B0qwxDT-X6NTdw,5.0,negative
260,6V-_fOaVf_JKGWxA4PvDDA,3.1,negative
261,6VbLHREcaWymbKU5ThXaJw,5.0,negative
262,6XVrXot96T7oRFPFHb4nNA,2.0,negative
263,6Xbh41PvEtxzibI_FufiWg,2.5,negative
264,6YF0rFSv9SgLkLAfI_g_dg,4.333333333333333,positive
265,6_PHtHLhghGESuxTc47SGg,4.75,positive
266,6bDKfKmmO0WHygRLPSYhKg,1.0,negative
267,6cEDVFQWyc-vKUu9BkB9BA,3.5,positive
268,6cmVmhzc8zRg72TtEX_WPQ,3.0,positive
269,6gAj-qu9O6iO8_JhLVyclw,1.6666666666666667,negative
270,6gUP88UsbQIYeiHT4HQGAQ,4.333333333333333,negative
271,6h5fsLQxZFHVtoaYMvUgjw,2.0,positive
272,6i-c2rhUQasTgHu0f6mAOw,3.0,positive
273,6jTzrKHZwk9WbGOd3EepJQ,4.0,positive
274,6tQydtMOQa810aixX5bjSg,2.5,negative
275,6uHZp2gEACbXPahtjLdibw,5.0,positive
276,6v0fFTgZgtlgekrCS5rXaw,5.0,negative
277,6vGS-LUGKJ7_nftp_GSuaA,4.0,positive
278,6w_woCxEU6JECjr1AimYqQ,5.0,positive
279,70WOznUwoZAoPKF9AQjlVg,1.0,negative
280,70iaqce41qW6C_KU-yb4Jw,3.0,negative
281,745eW4lDLWSCp61z5e0LjQ,5.0,negative
282,74GJhQVpEYbBHrZ1hK-kag,3.278688524590164,positive
283,79PQhyLMS3fha-NMeDKbHg,4.0,positive
284,7AkG2duYnqJPQA6Rgdl6-w,1.0,negative
285,7DFfcYoO5B3S9nhgxgOHWQ,3.6666666666666665,positive
286,7DifqTEQZq2UVMPioKU0fw,4.0,positive
287,7EPdAZM3oRuEqOdmiKsudA,4.0,positive
288,7Ees_Pd8ehKBMAtFzjPpyQ,3.7439024390243913,positive
289,7HkdXqAPiujN4CIQvPcw4Q,3.6176470588235294,positive
290,7JJc3FxIjASbBCqwdUjeRg,4.0,negative
291,7JmUWo4BDdUm3BQbp3e5tQ,3.2,positive
292,7JteYLXKP3QHgZ8pu7gfKQ,5.0,negative
293,7KX0ZvI7j6S3nNMXelrllw,3.6,positive
294,7MGIJ-_nVHyD3EIRGGlNog,4.5,negative
295,7NyqiK-2WV4wZ5N7-b4oqg,1.0,negative
296,7O5kbUUGD8hTODAFUMwRLw,3.1428571428571432,negative
297,7OdQ5RCym_Vmzz4RKQ92Hg,4.666666666666667,positive
298,7PF3v2I9FF_ow_mklrEjoQ,3.6666666666666665,positive
299,7QFwP0fM7jNA7a6ors-egQ,5.0,positive
300,7QbiMMoxyre9CMC66Y_h0A,3.0,negative
301,7T_5XiktNAS_YfIgQmZVhQ,4.6875,positive
302,7UKAxVZZrr0S_SSJOPpcCg,3.333333333333333,positive
303,7V14X7-6zgaKXIXPOkGrpw,3.5,positive
304,7WhnBaYxhFoShht14aiWwA,5.0,positive
305,7YQFD8xt0Vim3G2lkDVDEw,3.0,negative
306,7a9BG-eTJahBhyhqKqba5w,3.333333333333333,positive
307,7acqCZbZfoef4BHqPExHtA,3.7142857142857135,positive
308,7cHaoUstb6ozaYt6dJYYHw,2.0,negative
309,7dqsx2p9XepsT-vzrumNUg,4.0,positive
310,7eQfduUHQS24-e8qm4xG5Q,3.0,negative
311,7eRnlfZnXvsZ3M2NbddDdg,3.0,positive
312,7elMK1K1_RAYXIrwqr_7fw,1.0,negative
313,7f8uMBclWJTeFilXcLpYxQ,3.0,positive
314,7j0YiQZu-eQBoFgFnCzLDQ,4.666666666666667,negative
315,7nKa_g-y3VqoyuBP2bHahA,3.0,negative
316,7oOLIcZ2EW_eendvv5bwuA,2.5,negative
317,7t91PqHRTp-bIvhUqtfGrw,2.5,negative
318,7tSYZrg-1hcOEBX7LYZfbw,5.0,positive
319,7tWRpnfuqXRnG9m6oU2CSw,2.833333333333333,negative
320,7ta8vOMX7bvuQCtioRHuIA,4.035714285714286,positive
321,7xpf5VhK73NN3gcb4gbMCA,3.5354330708661417,positive
322,7y0PNSJwGNuwDq7iPjjBBw,3.333333333333333,negative
323,7zXVHfCWPnoAgU2pEbaazQ,3.7692307692307687,positive
