Restaurant Name,ADDRESS_x,Failed inspection on,Alive for x years
QUITE FRANKLY LTD,1300 S CLINTON ST ,2010-12-06,3.0986301369863014
RAYMONDS MEAT MARKET,2402 S BLUE ISLAND AVE ,2012-05-08,1.3095890410958904
ROOK CAFE AND SMOOTHIE BAR,816 S MICHIGAN AVE ,2013-03-06,0.8054794520547945
ROSEBUD IN & OUT,1 S DEARBORN ST ,2016-12-23,1.0493150684931507
SAN JOSE FAST FOOD,1640 W 18TH ST ,2010-05-04,4.019178082191781
SANDY'S FOOD MART,4456 S HERMITAGE AVE ,2010-02-19,4.016438356164383
SMART NUTRITION,2256 W CERMAK RD ,2016-08-05,1.9479452054794522
SON OF A BEEF,2524 S CALIFORNIA AVE ,2015-06-04,1.4356164383561645
SUBWAY,1232 S CANAL ST ,2014-12-23,6.610958904109589
SUBWAY,1501 W MADISON ST ,2010-10-14,5.424657534246576
SUBWAY,166 W WASHINGTON ST ,2010-03-26,7.632876712328767
SUBWAY,17 S WABASH AVE ,2010-03-11,6.328767123287672
SUBWAY,335 S FRANKLIN ST ,2014-04-08,9.397260273972602
SUBWAY,604 S Wabash AVE ,2010-03-17,6.345205479452055
SUBWAY #7706,335 S FRANKLIN ST ,2014-04-08,7.367123287671233
SWEET FACTORY,100 W RANDOLPH ST ,2011-01-20,7.8054794520547945
TACO FRESCO,180 N WELLS ST ,2014-06-24,11.616438356164384
TACO FRESCO,23 E ADAMS ST ,2014-06-17,10.347945205479451
THE INDIA GRILL,1112 S WABASH AVE ,2010-10-06,2.1232876712328768
THE LOBBY SHOP,1 N LA SALLE ST ,2012-11-05,2.665753424657534
TRAVEL TRADERS #523,323 E WACKER DR ,2010-12-28,2.164383561643836
V & V MINI MART,2059 W 21ST ST ,2015-04-27,0.18082191780821918
VENUS CYPRIOT CUISINE,820 W JACKSON BLVD ,2010-10-07,2.4821917808219176
WAGNER'S BAKERY,2148 W CERMAK RD ,2010-06-23,8.156164383561643
"WISHCO, INC.",1546 W 35TH ST ,2010-01-13,3.8383561643835615
XIN XIN RESTAURANT,3417 S HALSTED ST ,2010-01-22,2.904109589041096
YOLK,1120 S MICHIGAN AVE ,2014-10-15,7.917808219178082
ZEBRA'S GOURMET HOT DOGS,3551 S HALSTED ST ,2012-09-05,2.334246575342466
